Independents,Total Energy Consumption Increase,Total Energy Consumption Decrease,Energy Use Intensity Increase,Energy Use Intensity Decrease,Electricity Consumption Increase,Electricity Consumption Decrease,Heating Consumption Increase,Heating Consumption Decrease,Cooling Consumption Increase,Cooling Consumption Decrease,Gas Consumption Increase,Gas Consumption Decrease,Energy Per Capita Increase,Energy Per Capita Decrease
Duration or frequency use of HVAC,"
Kaza, Nikhil. 2010. “Understanding the Spectrum of Residential Energy Consumption: A Quantile Regression Approach.” Energy Policy 38 (11): 6574–85. https://doi.org/10.1016/j.enpol.2010.06.028.",0,0,0,0,0,"S. Chen, N. Li, H. Yoshino, J. Guan, and M. D. Levine, “Statistical analyses on winter energy consumption characteristics of residential buildings in some cities of China,” Energy and Buildings, vol. 43, no. 5, pp. 1063–1070, May 2011, doi: 10.1016/j.enbuild.2010.09.022.",0,"
G. Y. Yun and K. Steemers, “Behavioural, physical and socio-economic factors in household cooling energy consumption,” Applied Energy, vol. 88, no. 6, pp. 2191–2200, 2011, doi: 10.1016/j.apenergy.2011.01.010.

K. Steemers and G. Y. Yun, “Household energy consumption: A study of the role of occupants,” Building Research and Information, vol. 37, no. 5–6, pp. 625–637, 2009, doi: 10.1080/09613210903186661.

A. Andreou, J. Barrett, P. G. Taylor, P. E. Brockway, and Z. Wadud, “Decomposing the drivers of residential space cooling energy consumption in EU-28 countries using a panel data approach,” Energy and Built Environment, vol. 1, no. 4, pp. 432–442, Oct. 2020, doi: 10.1016/j.enbenv.2020.03.005.


",0,0,0,0,0
Maintenance of HVACs,0,"Balaras, Constantinos A., Athina G. Gaglia, Elena Georgopoulou, Sevastianos Mirasgedis, Yiannis Sarafidis, and Dimitris P. Lalas. 2007. “European Residential Buildings and Empirical Assessment of the
 Hellenic Building Stock, Energy Consumption, Emissions and Potential Energy Savings.” Building and Environment 42 (3): 1298–1314. https://doi.org/10.1016/j.buildenv.2005.11.001.",0,0,0,0,0,0,0,0,0,0,0,0
Satisfaction with temperature,0,0,0,0,0,0,"S. Chen, N. Li, H. Yoshino, J. Guan, and M. D. Levine, “Statistical analyses on winter energy consumption characteristics of residential buildings in some cities of China,” Energy and Buildings, vol. 43, no. 5, pp. 1063–1070, May 2011, doi: 10.1016/j.enbuild.2010.09.022.",0,0,0,0,0,0,0
Occupancy level,"G. K. F. Tso and J. Guan, “A multilevel regression approach to understand effects of environment 
indicators and household features on residential energy consumption,” Energy, vol. 66, pp. 722–731, Mar. 2014, doi: 10.1016/j.energy.2014.01.056.",0,0,0,0,0,0,0,0,0,0,0,0,0
Building age,"H. Estiri and E. Zagheni, “Age matters: Ageing and household energy demand in the United States,” Energy Research and Social Science, vol. 55, pp. 62–70, Sep. 2019, doi: 10.1016/j.erss.2019.05.006.

A. Froemelt, R. Buffat, and S. Hellweg, “Machine learning based modeling of households: A regionalized bottom-up approach to investigate consumption-induced environmental impacts,” Journal of Industrial Ecology, vol. 24, no. 3, pp. 639–652, Jun. 2020, doi: 10.1111/jiec.12969.

B. Jaffar, T. Oreszczyn, R. Raslan, and A. Summerfield, “Understanding energy demand in Kuwaiti villas: Findings from a quantitative household survey,” Energy and Buildings, vol. 165, pp. 379–389, Apr. 2018, doi: 10.1016/j.enbuild.2018.01.055.

G. K. F. Tso and J. Guan, “A multilevel regression approach to understand effects of environment indicators and household features on residential energy consumption,” Energy, vol. 66, pp. 722–731, Mar. 2014, doi: 10.1016/j.energy.2014.01.056.
 
Y. J. Ahn and D. W. Sohn, “The effect of neighbourhood-level urban form on residential building energy use: A GIS-based model using building energy benchmarking data in Seattle,” Energy and Buildings, vol. 196, pp. 124–133, Aug. 2019, doi: 10.1016/j.enbuild.2019.05.018.

E. Porse, J. Derenski, H. Gustafson, Z. Elizabeth, and S. Pincetl, “Structural, geographic, and social factors in urban building energy use: Analysis of aggregated account-level consumption data in a megacity,” Energy Policy, vol. 96, pp. 179–192, Sep. 2016, doi: 10.1016/j.enpol.2016.06.002.

E. Prataviera, P. Romano, L. Carnieletto, F. Pirotti, J. Vivian, and A. Zarrella, “EUReCA: An open-source urban building energy modelling tool for the efficient evaluation of cities energy demand,” Renewable Energy, vol. 173, pp. 544–560, Aug. 2021, doi: 10.1016/j.renene.2021.03.144.

 M. H. Kristensen, A. Brun, and S. Petersen, “Predicting Danish residential heating energy use from publicly available building characteristics,” Energy and Buildings, vol. 173, pp. 28–37, Aug. 2018, doi: 10.1016/j.enbuild.2018.05.011.

Mashhoodi, Bardia, Dominic Stead, and Arjan Van Timmeren. 2020. “Local and National Determinants of Household Energy Consumption in the Netherlands.” GeoJournal 85 (2): 393–406. https://doi.org/10.1007/s10708-018-09967-9.

Liu, Xiaochen, and John Sweeney. 2012. “Modelling the Impact of Urban Form on Household Energy Demand and Related CO2 Emissions in the Greater Dublin Region.” Energy Policy 46 (July):359–69. https://doi.org/10.1016/j.enpol.2012.03.070.","C. E. Kontokosta and C. Tull, “A data-driven predictive model of city-scale energy use in buildings,” Applied Energy, vol. 197, pp. 303–317, 2017, doi: 10.1016/j.apenergy.2017.04.005.","P. Bansal and S. J. Quan, “Examining behavioral aspect of urban context effect on residential building energy use in Seoul – linking urban walkability to energy,” Building and Environment, vol. 252, Mar. 2024, doi: 10.1016/j.buildenv.2024.111179.

L. Jiang, X. Shi, S. Wu, B. Ding, and Y. Chen, “What factors affect household energy consumption in mega-cities? A case study of Guangzhou, China,” Journal of Cleaner Production, vol. 363, Aug. 2022, doi: 10.1016/j.jclepro.2022.132388.

B. Goldstein, T. G. Reames, and J. P. Newell, “Racial inequity in household energy efficiency and carbon emissions in the United States: An emissions paradox,” Energy Research and Social Science, vol. 84, Feb. 2022, doi: 10.1016/j.erss.2021.102365.

E. Porse, J. Derenski, H. Gustafson, Z. Elizabeth, and S. Pincetl, “Structural, geographic, and social factors in urban building energy use: Analysis of aggregated account-level consumption data in a megacity,” Energy Policy, vol. 96, pp. 179–192, Sep. 2016, doi: 10.1016/j.enpol.2016.06.002.

A. F. Marique and S. Reiter, “A method to evaluate the energy consumption of suburban neighborhoods,” in HVAC and R Research, Feb. 2012, pp. 88–99. doi: 10.1080/10789669.2011.592103.

P. Bansal and S. J. Quan, “Relationships between building characteristics, urban form and building energy use in different local climate zone contexts: An empirical study in Seoul,” Energy and Buildings, vol. 272, Oct. 2022, doi: 10.1016/j.enbuild.2022.112335.

 Y. Pan and L. Zhang, “Data-driven estimation of building energy consumption with multi-source heterogeneous data,” Applied Energy, vol. 268, Jun. 2020, doi: 10.1016/j.apenergy.2020.114965.

K. N. Streicher, P. Padey, D. Parra, M. C. Bürer, S. Schneider, and M. K. Patel, “Analysis of space heating demand in the Swiss residential building stock: Element-based bottom-up model of archetype buildings,” Energy and Buildings, vol. 184, pp. 300–322, Feb. 2019, doi: 10.1016/j.enbuild.2018.12.011.

Neo, Hui Yun Rebecca, Nyuk Hien Wong, Marcel Ignatius, Chao Yuan, Yong Xu, and Kai Cao. 2023. “Spatial Analysis of Public Residential Housing’s Electricity Consumption in Relation to Urban Landscape and Building Characteristics: A Case Study in Singapore.” Energy & Environment 34 (2): 233–54. https://doi.org/10.1177/0958305X211056031.","Y. J. Chen, R. H. Matsuoka, and T. M. Liang, “Urban form, building characteristics, and residential electricity consumption: A case study in Tainan City,” Environment and Planning B: Urban Analytics and City Science, vol. 45, no. 5, pp. 933–952, Sep. 2018, doi: 10.1177/2399808317690150.

R. Silva, S. Eggimann, L. Fierz, M. Fiorentini, K. Orehounig, and L. Baldini, “Opportunities for passive cooling to mitigate the impact of climate change in Switzerland,” Building and Environment, vol. 208, Jan. 2022, doi: 10.1016/j.buildenv.2021.108574.","E. L. Navamuel, F. Rubiera Morollón, and B. Moreno Cuartas, “Energy consumption and urban sprawl:
 Evidence for the Spanish case,” Journal of Cleaner Production, vol. 172, pp. 3479–3486, Jan. 2018, doi: 10.1016/j.jclepro.2017.08.110.

J. L. Reyna and M. V. Chester, “Energy efficiency to reduce residential electricity and natural gas use under climate change,” Nature Communications, vol. 8, May 2017, doi: 10.1038/ncomms14916.","Y. J. Chen, R. H. Matsuoka, and T. M. Liang, “Urban form, building characteristics, and residential electricity consumption: A case study in Tainan City,” Environment and Planning B: Urban Analytics and City Science, vol. 45, no. 5, pp. 933–952, Sep. 2018, doi: 10.1177/2399808317690150.

S. Mohammadi, B. de Vries, A. Rafiee, M. Esfandiari, and E. Dias, “An exploratory study on the impact of physical and geospatial characteristics of the urban built environment on the buildings annual electricity usage,” Journal of Building Engineering, vol. 40, Aug. 2021, doi: 10.1016/j.jobe.2021.102359.

C. E. Kontokosta and C. Tull, “A data-driven predictive model of city-scale energy use in buildings,” Applied Energy, vol. 197, pp. 303–317, 2017, doi: 10.1016/j.apenergy.2017.04.005. 

A. Movahedi and S. Derrible, “Interrelationships between electricity, gas, and water consumption in large-scale buildings,” Journal of Industrial Ecology, vol. 25, no. 4, pp. 932–947, Aug. 2021, doi: 10.1111/jiec.13097.","N. Mostafavi, M. Farzinmoghadam, and S. Hoque, “Urban residential energy consumption modeling in the Integrated Urban Metabolism Analysis Tool (IUMAT),” Building and Environment, vol. 114, pp. 429–444, Mar. 2017, doi: 10.1016/j.buildenv.2016.12.035. 

K. Steemers and G. Y. Yun, “Household energy consumption: A study of the role of occupants,” Building Research and Information, vol. 37, no. 5–6, pp. 625–637, 2009, doi: 10.1080/09613210903186661.

K. N. Streicher, P. Padey, D. Parra, M. C. Bürer, S. Schneider, and M. K. Patel, “Analysis of space heating demand in the Swiss residential building stock: Element-based bottom-up model of archetype buildings,” Energy and Buildings, vol. 184, pp. 300–322, Feb. 2019, doi: 10.1016/j.enbuild.2018.12.011.

F. Vecchi, U. Berardi, and G. Mutani, “Data-driven urban building energy models for the platform of Toronto,” Energy Efficiency, vol. 16, no. 4, Apr. 2023, doi: 10.1007/s12053-023-10106-8.

M. Braulio-Gonzalo, M. D. Bovea, M. J. Ruá, and P. Juan, “A methodology for predicting the energy performance and indoor thermal comfort of residential stocks on the neighbourhood and city scales. A case study in Spain,” Journal of Cleaner Production, vol. 139, pp. 646–665, Dec. 2016, doi: 10.1016/j.jclepro.2016.08.059.",0,"N. Mostafavi, M. Farzinmoghadam, and S. Hoque, “Urban residential energy consumption modeling in the Integrated Urban Metabolism Analysis Tool (IUMAT),” Building and Environment, vol. 114, pp. 429–444, Mar. 2017, doi: 10.1016/j.buildenv.2016.12.035.


M. Braulio-Gonzalo, M. D. Bovea, M. J. Ruá, and P. Juan, “A methodology for predicting the energy performance and indoor thermal comfort of residential stocks on the neighbourhood and city scales. A case study in Spain,” Journal of Cleaner Production, vol. 139, pp. 646–665, Dec. 2016, doi: 10.1016/j.jclepro.2016.08.059.

Ko, Yekang, and John D Radke. 2014. “The Effect of Urban Form and Residential Cooling Energy Use in Sacramento, California.” Environment and Planning B: Planning and Design 41 (4): 573–93. https://doi.org/10.1068/b12038p.","R. Silva, S. Eggimann, L. Fierz, M. Fiorentini, K. Orehounig, and L. Baldini, “Opportunities for passive cooling to mitigate the impact of climate change in Switzerland,” Building and Environment, vol. 208, Jan. 2022, doi: 10.1016/j.buildenv.2021.108574.","Brounen, Dirk, Nils Kok, and John M. Quigley. 2012. “Residential Energy  Use and Conservation: Economics and Demographics.” European Economic Review 56 (5): 931–45. https://doi.org/10.1016/j.euroecorev.2012.02.007.

",0,0,0
Housing type (single-family detached) ,"F. Belaïd, D. Roubaud, and E. Galariotis, “Features of residential energy consumption: Evidence from France using an innovative multilevel modelling approach,” Energy Policy, vol. 125, pp. 277–285, Feb. 2019, doi: 10.1016/j.enpol.2018.11.007.

H. Estiri and E. Zagheni, “Age matters: Ageing and household energy demand in the United States,” Energy Research and Social Science, vol. 55, pp. 62–70, Sep. 2019, doi: 10.1016/j.erss.2019.05.006.

G. K. F. Tso and J. Guan, “A multilevel regression approach to understand effects of environment indicators and household features on residential energy consumption,” Energy, vol. 66, pp. 722–731, Mar. 2014, doi: 10.1016/j.energy.2014.01.056.

Elnakat, Afamia, Juan D. Gomez, and Nathlie Booth. 2016. “A Zip Code Study of Socioeconomic, Demographic, and Household Gendered Influence on the Residential Energy Sector.” Energy Reports 2 (November):21–27. https://doi.org/10.1016/j.egyr.2016.01.003.

Dar-Mousa, Rami Nabil, and Zeyad Makhamreh. 2019. “Analysis of the Pattern of Energy Consumptions and Its Impact on Urban Environmental Sustainability in Jordan: Amman City as a Case Study.” Energy, Sustainability and Society 9 (1): 15. https://doi.org/10.1186/s13705-019-0197-0.",0,"R. Silva, S. Eggimann, L. Fierz, M. Fiorentini, K. Orehounig, and L. Baldini, “Opportunities for passive cooling 
to mitigate the impact of climate change in Switzerland,” Building and Environment, vol. 208, Jan. 2022, doi: 10.1016/j.buildenv.2021.108574.",0,"H. Fan, I. F. MacGill, and A. B. Sproul, “Statistical analysis of driving factors of residential energy demand in the greater Sydney region, Australia,” Energy and Buildings, vol. 105, pp. 9–25, Aug. 2015, doi: 10.1016/j.enbuild.2015.07.030., 

S. Mohammadi, B. de Vries, A. Rafiee, M. Esfandiari, and E. Dias, “An exploratory study on the impact of physical and geospatial characteristics of the urban built environment on the buildings annual electricity usage,” Journal of Building Engineering, vol. 40, Aug. 2021, doi: 10.1016/j.jobe.2021.102359.",0,"N. Mostafavi, M. Farzinmoghadam, and S. Hoque, “Urban residential energy consumption modeling in the Integrated Urban Metabolism Analysis Tool (IUMAT),” Building and Environment, vol. 114, pp. 429–444, Mar. 2017, doi: 10.1016/j.buildenv.2016.12.035.

A. F. Marique and S. Reiter, “A method to evaluate the energy consumption of suburban neighborhoods,” in HVAC and R Research, Feb. 2012, pp. 88–99. doi: 10.1080/10789669.2011.592103., 

K. N. Streicher, P. Padey, D. Parra, M. C. Bürer, S. Schneider, and M. K. Patel, “Analysis of space heating demand in the Swiss residential building stock: Element-based bottom-up model of archetype buildings,” Energy and Buildings, vol. 184, pp. 300–322, Feb. 2019, doi: 10.1016/j.enbuild.2018.12.011.",0,"N. Mostafavi, M. Farzinmoghadam, and S. Hoque, “Urban residential 
energy consumption modeling in the Integrated Urban Metabolism Analysis Tool (IUMAT),” Building and Environment, vol. 114, pp. 429–444, Mar. 2017, doi: 10.1016/j.buildenv.2016.12.035.",0,"M. Namazkhan, C. Albers, and L. Steg, “A decision tree method for explaining household gas consumption: The role of building characteristics, socio-demographic variables, psychological factors and household behaviour,” Renewable and Sustainable Energy Reviews, vol. 119, Mar. 2020, doi: 10.1016/j.rser.2019.109542.

Brounen, Dirk, Nils Kok, and John M. Quigley. 2012. “Residential Energy Use and Conservation: Economics and Demographics.” European Economic Review 56 (5): 931–45. https://doi.org/10.1016/j.euroecorev.2012.02.007.

",0,"D. Wiesmann, I. Lima Azevedo, P. Ferrão, and J. E. Fernández, “Residential electricity consumption in Portugal: Findings from top-down and bottom-up models,” Energy Policy, vol. 39, no. 5, pp. 2772–2779, May 2011, doi: 10.1016/j.enpol.2011.02.047.

P. Newton and D. Meyer, “The determinants of urban resource consumption,” Environment and Behavior, vol. 44, no. 1, pp. 107–135, Jan. 2012, doi: 10.1177/0013916510390494.",0
Housing type (apartments),0,"J. W. Burnett and L. L. Kiesling, “How do machines predict energy use? Comparing machine learning approaches for modeling household energy demand in the United States,” Energy Research and Social Science, vol. 91, Sep. 2022, doi: 10.1016/j.erss.2022.102715

H. Estiri and E. Zagheni, “Age matters: Ageing and household energy demand in the United States,” Energy Research and Social Science, vol. 55, pp. 62–70, Sep. 2019, doi: 10.1016/j.erss.2019.05.006.

D. J. Bednar, T. G. Reames, and G. A. Keoleian, “The intersection of energy and justice: Modeling the spatial, racial/ethnic and socioeconomic patterns of urban residential heating consumption and efficiency in Detroit, Michigan,” Energy and Buildings, vol. 143, pp. 25–34, May 2017, doi: 10.1016/j.enbuild.2017.03.028.

U. Ali, M. H. Shamsi, C. Hoare, E. Mangina, and J. O’Donnell, “A data-driven approach for multi-scale building archetypes development,” Energy and Buildings, vol. 202, Nov. 2019, doi: 10.1016/j.enbuild.2019.109364.

P. Shen and B. Yang, “Projecting Texas energy use for residential sector under future climate and urbanization scenarios: A bottom-up method based on twenty-year regional energy use data,” Energy, vol. 193, Feb. 2020, doi: 10.1016/j.energy.2019.116694.

Liu, Xiaochen, and John Sweeney. 2012. “Modelling the Impact of Urban Form on Household Energy Demand and Related CO2 Emissions in the Greater Dublin Region.” Energy Policy 46 (July):359–69. https://doi.org/10.1016/j.enpol.2012.03.070.","D. J. Bednar, T. G. Reames, and G. A. Keoleian, “The intersection of energy and justice: Modeling the spatial, racial/ethnic and socioeconomic patterns of urban residential heating consumption and efficiency in Detroit, Michigan,” Energy and Buildings, vol. 143, pp. 25–34, May 2017, doi: 10.1016/j.enbuild.2017.03.028.","R. Silva, S. Eggimann, L. Fierz, M. Fiorentini, K. Orehounig, and L. Baldini, “Opportunities for passive cooling to mitigate the impact of climate change in Switzerland,” Building and Environment, vol. 208, Jan. 2022, doi: 10.1016/j.buildenv.2021.108574.",0,"H. Fan, I. F. MacGill, and A. B. Sproul, “Statistical analysis of driving factors of residential energy demand in the greater Sydney region, Australia,” Energy and Buildings, vol. 105, pp. 9–25, Aug. 2015, doi: 10.1016/j.enbuild.2015.07.030.

S. Mohammadi, B. de Vries, A. Rafiee, M. Esfandiari, and E. Dias, “An exploratory study on the impact of physical and geospatial characteristics of the urban built environment on the buildings annual electricity usage,” Journal of Building Engineering, vol. 40, Aug. 2021, doi: 10.1016/j.jobe.2021.102359.",0,"D. J. Bednar, T. G. Reames, and G. A. Keoleian, “The intersection of energy and justice: Modeling the spatial, racial/ethnic and socioeconomic patterns of urban residential heating consumption and efficiency in Detroit, Michigan,” Energy and Buildings, vol. 143, pp. 25–34, May 2017, doi: 10.1016/j.enbuild.2017.03.028.",0,"R. Silva, S. Eggimann, L. Fierz, M. Fiorentini, K. Orehounig, and L. Baldini, “Opportunities for passive cooling to mitigate the impact of climate change in Switzerland,” Building and Environment, vol. 208, Jan. 2022, doi: 10.1016/j.buildenv.2021.108574.",0,0,0,"D. Wiesmann, I. Lima Azevedo, P. Ferrão, and J. E. Fernández, “Residential electricity consumption in Portugal: Findings from top-down and bottom-up models,” Energy Policy, vol. 39, no. 5, pp. 2772–2779, May 2011, doi: 10.1016/j.enpol.2011.02.047."
Housing type (attached) ,0,0,0,"C. E. Kontokosta and C. Tull, “A data-driven predictive model of city-scale energy use in buildings,” Applied Energy, vol. 197, pp. 303–317, 2017, doi: 10.1016/j.apenergy.2017.04.005.",0,"H. Fan, I. F. MacGill, and A. B. Sproul, “Statistical analysis of driving factors of residential energy demand in the greater Sydney region, Australia,” Energy and Buildings, vol. 105, pp. 9–25, Aug. 2015, doi: 10.1016/j.enbuild.2015.07.030.

 S. Mohammadi, B. de Vries, A. Rafiee, M. Esfandiari, and E. Dias, “An exploratory study on the impact of physical and geospatial characteristics of the urban built environment on the buildings annual electricity usage,” Journal of Building Engineering, vol. 40, Aug. 2021, doi: 10.1016/j.jobe.2021.102359.",,0,0,0,0,"M. Namazkhan, C. Albers, and L. Steg, “A decision tree method for explaining household gas consumption: The role of building characteristics, socio-demographic variables, psychological factors and household behaviour,” Renewable and Sustainable Energy Reviews, vol. 119, Mar. 2020, doi: 10.1016/j.rser.2019.109542.",0,0
Building use (residential),0,0,0,0,0,"C. E. Kontokosta and C. Tull, “A data-driven predictive model of city-scale energy use in buildings,” Applied Energy, vol. 197, pp. 303–317, 2017, doi: 10.1016/j.apenergy.2017.04.005.

A. Movahedi and S. Derrible, “Interrelationships between electricity, gas, and water consumption in large-scale buildings,” Journal of Industrial Ecology, vol. 25, no. 4, pp. 932–947, Aug. 2021, doi: 10.1111/jiec.13097.

A. M. R. Nishimwe and S. Reiter, “Estimation, analysis and mapping of electricity consumption of a regional building stock in a temperate climate in Europe,” Energy and Buildings, vol. 253, Dec. 2021, doi: 10.1016/j.enbuild.2021.111535.",0,0,0,0,0,0,0,0
Building use (office and retail),0,0,0,0,"C. E. Kontokosta and C. Tull, “A data-driven predictive model of city-scale energy use in buildings,” Applied Energy, vol. 197, pp. 303–317, 2017, doi: 10.1016/j.apenergy.2017.04.005.",0,0,0,0,0,"C. E. Kontokosta and C. Tull, “A data-driven predictive 
model of city-scale energy use in buildings,” Applied Energy, vol. 197, pp. 303–317, 2017, doi: 10.1016/j.apenergy.2017.04.005.",0,0,0
Total number of rooms ,"J. W. Burnett and L. L. Kiesling, “How do machines predict energy use? Comparing machine learning approaches for modeling household energy demand in the United States,” Energy Research and Social Science, vol. 91, Sep. 2022, doi: 10.1016/j.erss.2022.102715.

 B. Jaffar, T. Oreszczyn, R. Raslan, and A. Summerfield, “Understanding energy demand in Kuwaiti villas: Findings from a quantitative household survey,” Energy and Buildings, vol. 165, pp. 379–389, Apr. 2018, doi: 10.1016/j.enbuild.2018.01.055.

B. Wilson, “Urban form and residential electricity consumption: Evidence from Illinois, USA,” Landscape and Urban Planning, vol. 115, pp. 62–71, 2013, doi: 10.1016/j.landurbplan.2013.03.011.

Y. J. Ahn and D. W. Sohn, “The effect of neighbourhood-level urban form on residential building energy use: A GIS-based model using building energy benchmarking data in Seattle,” Energy and Buildings, vol. 196, pp. 124–133, Aug. 2019, doi: 10.1016/j.enbuild.2019.05.018.",0,"X. Liu, H. Tang, Y. Ding, and D. Yan, “Investigating the performance of machine learning models combined with different feature selection methods to estimate the energy consumption of buildings,” Energy and Buildings, vol. 273, Oct. 2022, doi: 10.1016/j.enbuild.2022.112408.","D. J. Bednar, T. G. Reames, and G. A. Keoleian, “The intersection of energy and justice: Modeling the spatial, racial/ethnic and socioeconomic patterns of urban residential heating consumption and efficiency in Detroit, Michigan,” Energy and Buildings, vol. 143, pp. 25–34, May 2017, doi: 10.1016/j.enbuild.2017.03.028.","Ye, Yuxiang, Steven F. Koch, and Jiangfeng Zhang. 2018. “Determinants of Household Electricity Consumption in South Africa.” Energy Economics 75 (September):120–33.
 https://doi.org/10.1016/j.eneco.2018.08.005.",0,"K. Steemers and G. Y. Yun, “Household energy consumption: A study of the role of occupants,” Building Research and Information, vol. 37, no. 5–6, pp. 625–637, 2009, doi: 10.1080/09613210903186661.",0,"K. Steemers and G. Y. Yun, “Household energy consumption: A study of the role of occupants,” Building Research and Information, vol. 37, no. 5–6, pp. 625–637, 2009, doi: 10.1080/09613210903186661.",0,"M. Namazkhan, C. Albers, and L. Steg, “A decision tree method 
for explaining household gas consumption: The role of building characteristics, socio-demographic variables, psychological factors and household behaviour,” Renewable and Sustainable Energy Reviews, vol. 119, Mar. 2020, doi: 10.1016/j.rser.2019.109542.",0,"L. Wang, E. W. M. Lee, S. A. Hussian, A. C. Y. Yuen, and W. Feng, “Quantitative impact analysis of driving factors on annual residential building energy end-use combining machine learning and stochastic methods,” Applied Energy, vol. 299, Oct. 2021, doi: 10.1016/j.apenergy.2021.117303.",0
Building height,"Y. Zhang, B. K. Teoh, M. Wu, J. Chen, and L. Zhang, “Data-driven estimation of building energy consumption and GHG emissions using explainable artificial intelligence,” Energy, vol. 262, Jan. 2023, doi: 10.1016/j.energy.2022.125468.

Lee, Gunwon, and Yunnam Jeong. 2017. “Impact of Urban and Building Form and Microclimate on the Energy Consumption of Buildings - Based on Statistical Analysis-.” Journal of Asian Architecture and Building Engineering 16 (3): 565–72. https://doi.org/10.3130/jaabe.16.565.","Mangan, Suzi Dilara, Gul Koclar Oral, Idil Erdemir Kocagil, and Irem Sozen. 2021. “The Impact of Urban Form on Building Energy and Cost Efficiency in Temperate-Humid Zones.” Journal of Building Engineering 33 (January):101626. https://doi.org/10.1016/j.jobe.2020.101626.","C. E. Kontokosta and C. Tull, “A data-driven predictive model of city-scale energy use in buildings,” Applied Energy, vol. 197, pp. 303–317, 2017, doi: 10.1016/j.apenergy.2017.04.005.

Zhang, Yan, Bak Koon Teoh, Limao Zhang, and Jiayu Chen. 2022. “Spatio-Temporal Heterogeneity Analysis of Energy Use in Residential Buildings.” Journal of Cleaner Production 352 (June):131422. https://doi.org/10.1016/j.jclepro.2022.131422.

","P. Bansal and S. J. Quan, “Relationships between building characteristics, urban form and building energy use in different local climate zone contexts: An empirical study in Seoul,” Energy and Buildings, vol. 272, Oct. 2022, doi: 10.1016/j.enbuild.2022.112335.","W. H. Huang, “The determinants of household electricity consumption in Taiwan: Evidence from quantile regression,” Energy, vol. 87, pp. 120–133, Jul. 2015, doi: 10.1016/j.energy.2015.04.101.,

S. Mohammadi, B. de Vries, A. Rafiee, M. Esfandiari, and E. Dias, “An exploratory study on the impact of physical and geospatial characteristics of the urban built environment on the buildings annual electricity usage,” Journal of Building Engineering, vol. 40, Aug. 2021, doi: 10.1016/j.jobe.2021.102359.","P. Steadman, I. Hamilton, and S. Evans, “Energy and urban built form: An empirical and statistical approach,” Building Research and Information, vol. 42, no. 1, pp. 17–31, 2014, doi: 10.1080/09613218.2013.808140.","S. Chen, N. Li, H. Yoshino, J. Guan, and M. D. Levine, “Statistical analyses on 
winter energy consumption characteristics of residential buildings in some cities of China,” Energy and Buildings, vol. 43, no. 5, pp. 1063–1070, May 2011, doi: 10.1016/j.enbuild.2010.09.022.

Q. Jiang et al., “Predicting building energy consumption in urban neighborhoods using machine learning algorithms,” Frontiers of Urban and Rural Planning, vol. 2, no. 1, Feb. 2024, doi: 10.1007/s44243-024-00032-3.

S. Zhu et al., “The impact of urban vegetation morphology on urban building energy consumption during summer and winter seasons in Nanjing, China,” Landscape and Urban Planning, vol. 228, Dec. 2022, doi: 10.1016/j.landurbplan.2022.104576.","Li, Gaomei, Cheng Sun, Mengcheng Sang, Shuqin Chen, Jinjin Li, Yunsun Han, and Shen Xu. 2024. “The Synergistic Effect of Multiple Design Factors on Building Energy Consumption of Office Blocks: A Case Study of Wuhan, China.” Journal of Building Engineering 95 (October):110200. https://doi.org/10.1016/j.jobe.2024.110200.","Mangan, Suzi Dilara, Gul Koclar Oral, Idil Erdemir Kocagil, and Irem Sozen. 2021. “The Impact of Urban Form on Building Energy and Cost Efficiency in Temperate-Humid Zones.” Journal of Building Engineering 33 (January):101626. https://doi.org/10.1016/j.jobe.2020.101626.","S. Zhu et al., “The impact of urban vegetation morphology on urban building energy consumption during summer and winter seasons in Nanjing, China,” Landscape and Urban Planning, vol. 228, Dec. 2022, doi: 10.1016/j.landurbplan.2022.104576.","P. Steadman, I. Hamilton, and S. Evans, “Energy and urban built 
form: An empirical and statistical approach,” Building Research and Information, vol. 42, no. 1, pp. 17–31, 2014, doi: 10.1080/09613218.2013.808140.",0,0,0
Floor to ceiling height,"F. Belaïd, “Understanding the spectrum of domestic energy consumption: Empirical evidence from France,” Energy Policy, vol. 92, pp. 220–233, May 2016, doi: 10.1016/j.enpol.2016.02.015.",0,0,0,0,0,0,0,0,0,0,0,0,0
